电影名,导演,评分,介绍,图片地址
爱在日落黄昏时,[': 理查德·林克莱特 Richard Linklater'],8.9,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2561542458.jpg
萤火之森,[': 大森贵弘 Takahiro Omori'],8.9,触不到的恋人。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1675053073.jpg
驯龙高手,[': 迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders'],8.7,和谐的生活离不开摸头与被摸头。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2210954024.jpg
玛丽和马克思,[': 亚当·艾略特 Adam Elliot'],8.9,你是我最好的朋友，你是我唯一的朋友 。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p488255145.jpg
幸福终点站,[': 史蒂文·斯皮尔伯格 Steven Spielberg'],8.8,有时候幸福需要等一等。 ,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p854757687.jpg
告白,[': 中岛哲也 Tetsuya Nakashima'],8.7,没有一人完全善，也没有一人完全恶。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p689520756.jpg
天书奇谭,[': 王树忱 Shuchen Wang / 钱运达 Yunda Qian'],9.2,传奇的年代，醉人的童话。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2515539487.jpg
大鱼,[': 蒂姆·波顿 Tim Burton'],8.8,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p692813374.jpg
射雕英雄传之东成西就,[': 刘镇伟 Jeffrey Lau'],8.7,百看不厌。 ,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2609063925.jpg
阳光姐妹淘,[': 姜炯哲 Hyeong-Cheol Kang'],8.8,再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1374786017.jpg
哈利·波特与密室,[': Chris Columbus'],8.7,魔法的密室之门已打开...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1082651990.jpg
怪兽电力公司,[': 彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman'],8.7,不要给它起名字，起了名字就有感情了。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2513247938.jpg
恐怖直播,[': 金秉祐 Byeong-woo Kim'],8.7,恐怖分子的“秋菊打官司”。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2016930906.jpg
神偷奶爸,[': 皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud'],8.6,Mr. I Don't Care其实也有Care的时候。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792776858.jpg
时空恋旅人,[': 理查德·柯蒂斯 Richard Curtis'],8.8,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2070153774.jpg
玩具总动员3,[': 李·昂克里奇 Lee Unkrich'],8.9,跨度十五年的欢乐与泪水。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1283675359.jpg
傲慢与偏见,[': 乔·怀特 Joe Wright'],8.7,爱是摈弃傲慢与偏见之后的曙光。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2016401659.jpg
教父3,[': 弗朗西斯·福特·科波拉 Francis Ford Coppola'],8.9,任何信念的力量，都无法改变命运。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2169664351.jpg
釜山行,[': 延尚昊 Sang-ho Yeon'],8.6,揭露人性的丧尸题材力作。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2360940399.jpg
血战钢锯岭,[': 梅尔·吉布森 Mel Gibson'],8.7,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2398141939.jpg
哪吒闹海,[': 严定宪 Dingxian Yan / 王树忱 Shuchen Wang'],9.1,想你时你在闹海。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2532803206.jpg
一个叫欧维的男人决定去死,[': 汉内斯·赫尔姆 Hannes Holm'],8.9,惠及一生的美丽。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2406624993.jpg
被解救的姜戈,[': 昆汀·塔伦蒂诺 Quentin Tarantino'],8.8,热血沸腾，那个低俗、性感的无耻混蛋又来了。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1800813767.jpg
七武士,[': 黑泽明 Akira Kurosawa'],9.3,时代悲歌。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2215886505.jpg
未麻的部屋,[': 今敏 Satoshi Kon'],9.0,好的剧本是，就算你猜到了结局也猜不到全部。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1351050722.jpg
喜宴,[': 李安 Ang Lee'],8.9,中国家庭的喜怒哀乐忍。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2249048907.jpg
电锯惊魂,[': 詹姆斯·温 James Wan'],8.7,真相就在眼前。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2565332644.jpg
我是山姆,[': 杰茜·尼尔森 Jessie Nelson'],9.0,爱并不需要智商 。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p652417775.jpg
头号玩家,[': 史蒂文·斯皮尔伯格 Steven Spielberg'],8.7,写给影迷，动漫迷和游戏迷的一封情书。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2516578307.jpg
风之谷,[': 宫崎骏 Hayao Miyazaki'],8.9,动画片的圣经。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1917567652.jpg
上帝之城,[': 费尔南多·梅里尔斯 Fernando Meirelles / 卡迪亚·兰德 Kátia Lund'],9.0,被上帝抛弃了的上帝之城。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p455677490.jpg
英雄本色,[': 吴宇森 John Woo'],8.7,英雄泪短，兄弟情长。 ,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2504997087.jpg
谍影重重3,[': 保罗·格林格拉斯 Paul Greengrass'],8.8,像吃了苏打饼一样干脆的电影。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792223507.jpg
卢旺达饭店,[': 特瑞·乔治 Terry George'],8.9,当这个世界闭上双眼，他却敞开了怀抱。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p470419493.jpg
疯狂原始人,[': 科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders'],8.7,老少皆宜，这就是好莱坞动画的魅力。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1867084027.jpg
三块广告牌,[': 马丁·麦克唐纳 Martin McDonagh'],8.7,怼天怼地，你走后，她与世界为敌。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2510081688.jpg
新世界,[': 朴勋政 Hoon-jung Park'],8.9,要做就做得狠一点，这样才能活下去。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1903379979.jpg
花样年华,[': 王家卫 Kar Wai Wong'],8.7,偷情本没有这样美。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1910828286.jpg
模仿游戏,[': 莫滕·泰杜姆 Morten Tyldum'],8.7,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2255040492.jpg
纵横四海,[': 吴宇森 John Woo'],8.8,香港浪漫主义警匪动作片的巅峰之作。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2597918718.jpg
黑客帝国3：矩阵革命,[': 拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski'],8.8,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p443461818.jpg
达拉斯买家俱乐部,[': 让-马克·瓦雷 Jean-Marc Vallée'],8.8,Jared Leto的腿比女人还美！,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2166160837.jpg
岁月神偷,[': 罗启锐 Alex Law'],8.7,岁月流逝，来日可追。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p456666151.jpg
心迷宫,[': 忻钰坤 Yukun Xin'],8.7,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2276780256.jpg
头脑特工队,[': 彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen'],8.7,愿我们都不用长大，每一座城堡都能永远存在。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2266293606.jpg
你的名字。,[': 新海诚 Makoto Shinkai'],8.4,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2395733377.jpg
记忆碎片,[': 克里斯托弗·诺兰 Christopher Nolan'],8.7,一个针管引发的血案。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p641688453.jpg
忠犬八公物语,[': Seijirô Kôyama'],9.2,养狗三日，便会对你终其一生。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2603716224.jpg
寄生虫,[': 奉俊昊 Joon-ho Bong'],8.8,  ,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561439800.jpg
荒蛮故事,[': 达米安·斯兹弗隆 Damián Szifron'],8.8,始于荒诞，止于更荒诞。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2584519452.jpg
海街日记,[': 是枝裕和 Hirokazu Koreeda'],8.8,是枝裕和的家庭习作。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2603364117.jpg
爆裂鼓手,[': 达米恩·查泽雷 Damien Chazelle'],8.7,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2220776342.jpg
真爱至上,[': 理查德·柯蒂斯 Richard Curtis'],8.6,爱，是个动词。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p475600770.jpg
贫民窟的百万富翁,[': 丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan'],8.6,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2434249040.jpg
东邪西毒,[': 王家卫 Kar Wai Wong'],8.6,电影诗。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1982176012.jpg
惊魂记,[': 阿尔弗雷德·希区柯克 Alfred Hitchcock'],9.0,故事的反转与反转，分裂电影的始祖。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1021883305.jpg
萤火虫之墓,[': 高畑勋 Isao Takahata'],8.7,幸福是生生不息，却难以触及的远。 ,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2237136718.jpg
哈利·波特与火焰杯,[': 迈克·内威尔 Mike Newell'],8.6,  ,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p735391084.jpg
黑天鹅,[': 达伦·阿罗诺夫斯基 Darren Aronofsky'],8.6,黑暗之美。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2549648344.jpg
小偷家族,[': 是枝裕和 Hirokazu Koreeda'],8.7,我们组成了家。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2530599636.jpg
绿里奇迹,[': Frank Darabont'],8.9,天使暂时离开。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p767586451.jpg
无敌破坏王,[': 瑞奇·莫尔 Rich Moore'],8.7,迪士尼和皮克斯拿错剧本的产物。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1735642656.jpg
你看起来好像很好吃,[': 藤森雅也 Masaya Fujimori'],8.9,感情不分食草或者食肉。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p709670262.jpg
冰川时代,[': 卡洛斯·沙尔丹哈 Carlos Saldanha / 克里斯·韦奇 Chris Wedge'],8.6,松鼠才是角儿。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910895719.jpg
爱在午夜降临前,[': 理查德·林克莱特 Richard Linklater'],8.8,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2074715729.jpg
九品芝麻官,[': 王晶 Jing Wong'],8.6,  ,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p648370300.jpg
雨人,[': 巴瑞·莱文森 Barry Levinson'],8.7,生活在自己的世界里，也可以让周围的人显得可笑和渺小。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2353324612.jpg
疯狂的石头,[': 宁浩 Hao Ning'],8.5,中国版《两杆大烟枪》。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p712241453.jpg
恋恋笔记本,[': 尼克·卡索维茨 Nick Cassavetes'],8.5,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p483604864.jpg
恐怖游轮,[': 克里斯托弗·史密斯 Christopher Smith'],8.5,不要企图在重复中寻找已经失去的爱。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p462470694.jpg
雨中曲,[': 斯坦利·多南 Stanley Donen / 吉恩·凯利 Gene Kelly'],9.0,骨灰级歌舞片。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1612355875.jpg
魔女宅急便,[': 宫崎骏 Hayao Miyazaki'],8.7,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p456676352.jpg
奇迹男孩,[': 斯蒂芬·卓博斯基 Stephen Chbosky'],8.6,世界不完美，爱会有奇迹。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2507709428.jpg
色，戒,[': 李安 Ang Lee'],8.5,假戏真情，爱欲深海,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p453716305.jpg
2001太空漫游,[': 斯坦利·库布里克 Stanley Kubrick'],8.8,现代科幻电影的开山之作，最伟大导演的最伟大影片。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2560717825.jpg
海边的曼彻斯特,[': 肯尼斯·罗纳根 Kenneth Lonergan'],8.6,我们都有权利不与自己的过去和解。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2421855655.jpg
虎口脱险,[': 杰拉尔·乌里 Gérard Oury'],8.9,永远看不腻的喜剧。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2399597512.jpg
人工智能,[': 史蒂文·斯皮尔伯格 Steven Spielberg'],8.7,对爱的执着，可以超越一切。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792257137.jpg
城市之光,[': Charles Chaplin'],9.3,永远的小人物，伟大的卓别林。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2170238828.jpg
可可西里,[': 陆川 Chuan Lu'],8.8,坚硬的信仰。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2363208684.jpg
二十二,[': 郭柯 Ke Guo'],8.7,有一些东西不应该被遗忘。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2457609817.jpg
房间,[': 伦尼·阿伯拉罕森 Lenny Abrahamson'],8.8,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2259715855.jpg
罗生门,[': 黑泽明 Akira Kurosawa'],8.8,人生的N种可能性。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1598883511.jpg
终结者2：审判日,[': 詹姆斯·卡梅隆 James Cameron'],8.7,少见的超越首部的续集，动作片中的经典。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1910909085.jpg
初恋这件小事,[': 普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn / 华森·波克彭...<br/>\n                            2010'],8.4,黑小鸭速效美白记。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1505312273.jpg
大佛普拉斯,[': 黄信尧 Hsin-yao Huang'],8.7,人们可以登上月球，却永远无法探索人们内心的宇宙。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2505928032.jpg
遗愿清单,[': 罗伯·莱纳 Rob Reiner'],8.7,用剩余不多的时间，去燃烧整个生命。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1481879628.jpg
波西米亚狂想曲,[': 布莱恩·辛格 Bryan Singer'],8.7,  ,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2549558913.jpg
牯岭街少年杀人事件,[': 杨德昌 Edward Yang'],8.9,弱者送给弱者的一刀。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p848381236.jpg
源代码,[': 邓肯·琼斯 Duncan Jones'],8.5,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p988260245.jpg
魂断蓝桥,[': 茂文·勒鲁瓦 Mervyn LeRoy'],8.8,中国式内在的美国电影。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2351134499.jpg
新龙门客栈,[': 李惠民 Raymond Lee'],8.6,嬉笑怒骂，调风动月。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1421018669.jpg
青蛇,[': 徐克 Hark Tsui'],8.6,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2570901292.jpg
疯狂的麦克斯4：狂暴之路,[': 乔治·米勒 George Miller'],8.6,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2236181653.jpg
无耻混蛋,[': Quentin Tarantino'],8.6,昆汀同学越来越变态了，比北野武还杜琪峰。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2575043939.jpg
血钻,[': 爱德华·兹威克 Edward Zwick'],8.7,每个美丽事物背后都是滴血的现实。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1244017073.jpg
步履不停,[': 是枝裕和 Hirokazu Koreeda'],8.8,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2375245718.jpg
燃情岁月,[': 爱德华·兹威克 Edward Zwick'],8.8,传奇，不是每个人都可以拥有。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1023654037.jpg
东京教父,[': 今敏 Satoshi Kon'],9.0,  ,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p456703618.jpg
海洋,[': 雅克·贝汉 Jacques Perrin / 雅克·克鲁奥德 Jacques Cluzaud'],9.1,大海啊，不全是水。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2559581324.jpg
无间道2,[': 刘伟强 / 麦兆辉'],8.6,  ,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p958008320.jpg
彗星来的那一夜,[': 詹姆斯·沃德·布柯特 James Ward Byrkit'],8.5,小成本大魅力。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2187896734.jpg
谍影重重2,[': 保罗·格林格拉斯 Paul Greengrass'],8.7,谁说王家卫镜头很晃？,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p667644866.jpg
穿越时空的少女,[': 细田守 Mamoru Hosoda'],8.6,爱上未来的你。 ,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2079334286.jpg
战争之王,[': 安德鲁·尼科尔 Andrew Niccol'],8.7,做一颗让别人需要你的棋子。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p792282381.jpg
阿飞正传,[': 王家卫 Kar Wai Wong'],8.5,王家卫是一种风格，张国荣是一个代表。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2525770523.jpg
地球上的星星,[': 阿米尔·汗 Aamir Khan'],8.9,天使保护事件始末。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1973489335.jpg
完美陌生人,[': 保罗·格诺维瑟 Paolo Genovese'],8.5,来啊，互相伤害啊！,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2522331945.jpg
谍影重重,[': 道格·里曼 Doug Liman'],8.6,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1597183981.jpg
千钧一发,[': 安德鲁·尼科尔 Andrew Niccol'],8.8,一部能引人思考的科幻励志片。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2195672555.jpg
香水,[': 汤姆·提克威 Tom Tykwer'],8.5,一个单凭体香达到高潮的男人。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2571500223.jpg
东京物语,[': 小津安二郎 Yasujirô Ozu'],9.2,东京那么大，如果有一天走失了，恐怕一辈子不能再相见。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1925331564.jpg
黑客帝国2：重装上阵,[': 拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski'],8.6,一个精彩的世界观正在缓缓建立。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p443461390.jpg
崖上的波妞,[': 宫崎骏 Hayao Miyazaki'],8.6,  ,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2627847859.jpg
我爱你,[': 秋昌民 Chang-min Choo'],9.1,你要相信，这世上真的有爱存在，不管在什么年纪 ,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1075591188.jpg
再次出发之纽约遇见你,[': 约翰·卡尼 John Carney'],8.6,爱我就给我看你的播放列表。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2250287733.jpg
朗读者,[': 史蒂芬·戴德利 Stephen Daldry'],8.6,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 ,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1140984198.jpg
驴得水,[': 周申 Shen Zhou / 刘露 Lu Liu'],8.3,过去的如果就让它过去了，未来只会越来越糟！,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2393044761.jpg
聚焦,[': 托马斯·麦卡锡 Thomas McCarthy'],8.8,新闻人的理性求真。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2263822658.jpg
浪潮,[': 丹尼斯·甘塞尔 Dennis Gansel'],8.7,世界离独裁只有五天。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1344888983.jpg
猜火车,[': 丹尼·博伊尔 Danny Boyle'],8.5,不可猜的青春迷笛。 ,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p513567548.jpg
小萝莉的猴神大叔,[': 卡比尔·汗 Kabir Khan'],8.4,宝莱坞的萝莉与大叔。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2510956726.jpg
追随,[': 克里斯托弗·诺兰 Christopher Nolan'],8.9,诺兰的牛逼来源于内心散发出的恐惧。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2561545031.jpg
黑鹰坠落,[': 雷德利·斯科特 Ridley Scott'],8.7,还原真实而残酷的战争。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910900710.jpg
茶馆,[': 谢添 Tian Xie'],9.5,  ,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2262122096.jpg
